facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,11.4,mg/l,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,DO-SAT,Dissolved oxygen saturation,Total,,107.4,%,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,DEPTH-BOTTOM,"Depth, bottom",Total,,39.1,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,8.6,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,DEPTH-THERMO,"Depth, thermocline",Total,,15,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,4.4,mg/l,True,2.4,,,160.4,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,CAL-CARB,Calcium carbonate (AS CACO3),Total,,187,mg/l,True,4,,,2320-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,4,mg/l,True,2.8,,,2540-D,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,3.2,mg/l,False,3.2,,,2540-E,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,7664-41-7,Ammonia (AS N),Dissolved,,0.001,mg/l,True,0.0001,,,350.1,ISULAKE,Calculated,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,NIT-AMM,Ammonia-nitrogen (AS N),Dissolved,,0.019,mg/l,True,0.010,,,350.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.86,mg/l,True,0.28,,,351.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (AS N),Dissolved,,0.14,mg/l,False,0.14,,,353.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,14265-44-2,Orthophosphate (AS P),Dissolved,,0.014,mg/l,False,0.0140,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,PHOSP-PHOSP,Total Phosphorus (AS P),Total,,0.0373,mg/l,True,0.0284,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,,2,ug/l,False,2,,,445,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,7440-44-0,Carbon,Dissolved,,5.91,mg/l,True,1.40,,,5310-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TURB,Turbidity,Total,,0.8,NTU,True,,,,ISU 2130-B,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Dissolved,,470,uS/cm,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TDS,Total dissolved solids,Dissolved,,300,mg/l,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,23.7,deg C,True,,,,ISU 2550,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,PH,pH,Total,,8.5,None,True,,,,ISU 4500-H,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,9.3,mg/l,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,DO-SAT,Dissolved oxygen saturation,Total,,109.4,%,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,DEPTH-BOTTOM,"Depth, bottom",Total,,37.4,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,4.3,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,DEPTH-THERMO,"Depth, thermocline",Total,,11,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,2.4,mg/l,False,2.4,,,160.4,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,CAL-CARB,Calcium carbonate (AS CACO3),Total,,189,mg/l,True,4,,,2320-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,2.8,mg/l,False,2.8,,,2540-D,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,3.2,mg/l,False,3.2,,,2540-E,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,7664-41-7,Ammonia (AS N),Dissolved,,0.0001,mg/l,False,0.0001,,,350.1,ISULAKE,Calculated,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,NIT-AMM,Ammonia-nitrogen (AS N),Dissolved,,0.01,mg/l,False,0.010,,,350.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.61,mg/l,True,0.28,,,351.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (AS N),Dissolved,,0.14,mg/l,False,0.14,,,353.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,14265-44-2,Orthophosphate (AS P),Dissolved,,0.014,mg/l,False,0.0140,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,PHOSP-PHOSP,Total Phosphorus (AS P),Total,,0.0284,mg/l,False,0.0284,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,,3,ug/l,True,2,,,445,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-07-16T09:05:00-05:00,AMBLAKE-ISU,7440-44-0,Carbon,Dissolved,,5.5,mg/l,True,1.40,,,5310-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,TURB,Turbidity,Total,,0.7,NTU,True,,,,ISU 2130-B,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Dissolved,,470,uS/cm,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,TDS,Total dissolved solids,Dissolved,,300,mg/l,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,24.3,deg C,True,,,,ISU 2550,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,PH,pH,Total,,8.4,None,True,,,,ISU 4500-H,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,8.5,mg/l,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,DO-SAT,Dissolved oxygen saturation,Total,,101.4,%,True,,,,ISU 4500-O-G,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,DEPTH-BOTTOM,"Depth, bottom",Total,,38.7,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,5.4,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,DEPTH-THERMO,"Depth, thermocline",Total,,13.5,m,True,,,,Unknown,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-08-28T11:17:00-05:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,2.4,mg/l,False,2.4,,,160.4,ISULAKE,Actual,SW,Water,,
